No,Periode,Inflasi
72,2019-01-01,2.82
71,2019-02-01,2.57
70,2019-03-01,2.48
69,2019-04-01,2.83
68,2019-05-01,3.32
67,2019-06-01,3.28
66,2019-07-01,3.32
65,2019-08-01,3.49
64,2019-09-01,3.39
63,2019-10-01,3.13
62,2019-11-01,3.0
61,2019-12-01,2.72
60,2020-01-01,2.68
59,2020-02-01,2.98
58,2020-03-01,2.96
57,2020-04-01,2.67
56,2020-05-01,2.19
55,2020-06-01,1.96
54,2020-07-01,1.54
53,2020-08-01,1.32
52,2020-09-01,1.42
51,2020-10-01,1.44
50,2020-11-01,1.59
49,2020-12-01,1.68
48,2021-01-01,1.55
47,2021-02-01,1.38
46,2021-03-01,1.37
45,2021-04-01,1.42
44,2021-05-01,1.68
43,2021-06-01,1.33
42,2021-07-01,1.52
41,2021-08-01,1.59
40,2021-09-01,1.6
39,2021-10-01,1.66
38,2021-11-01,1.75
37,2021-12-01,1.87
36,2022-01-01,2.18
35,2022-02-01,2.06
34,2022-03-01,2.64
33,2022-04-01,3.47
32,2022-05-01,3.55
31,2022-06-01,4.35
30,2022-07-01,4.94
29,2022-08-01,4.69
28,2022-09-01,5.95
27,2022-10-01,5.71
26,2022-11-01,5.42
25,2022-12-01,5.51
24,2023-01-01,5.28
23,2023-02-01,5.47
22,2023-03-01,4.97
21,2023-04-01,4.33
20,2023-05-01,4.0
19,2023-06-01,3.52
18,2023-07-01,3.08
17,2023-08-01,3.27
16,2023-09-01,2.28
15,2023-10-01,2.56
14,2023-11-01,2.86
13,2023-12-01,2.61
12,2024-01-01,2.57
11,2024-02-01,2.75
10,2024-03-01,3.05
9,2024-04-01,3.0
8,2024-05-01,2.84
7,2024-06-01,2.51
6,2024-07-01,2.13
5,2024-08-01,2.12
4,2024-09-01,1.84
3,2024-10-01,1.71
2,2024-11-01,1.55
1,2024-12-01,1.57
